Delta,G,T_p,bound_sources,boundary_blockers,boundary_bracket_width,boundary_infeasible_margins,boundary_infeasible_sigma,constraint_margins,delta_gain,k,least_squares_nfev,mach,max_abs_scaled_residual,objective_value,ok,pedal_direction,scan_diagnostics,sigma,sigma_interval_lower,sigma_interval_upper,solver_method,support_type
0.4194328365614295,77851.96378425871,3508.737613214325,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 77851.96379425871, 'Tp': 3208.737613214325, 'residual': 9.999982131454103e-09}",-0.010831889825571483,0,4,0.37836746440775443,1.7868545897215817e-14,0.010831889825571483,True,-2.0985046571775356e-05,,-0.05,-0.05,0.05,direct_preferred_endpoint,curvature_lower_supported
0.4038953390509892,66178.07034884677,3519.8029942817193,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 66178.07035884677, 'Tp': 3219.8029942817193, 'residual': 9.999949789001854e-09}",-0.015537497510440312,1,4,0.37224507716407323,5.021099814583614e-14,0.015537497510440312,True,-2.0259278925349733e-05,,-0.1,-0.1,0.0,direct_preferred_endpoint,curvature_lower_supported
0.3841766749121842,53261.03817355734,3532.6624735701976,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 53261.03818355734, 'Tp': 3232.6624735701976, 'residual': 9.999834725797122e-09}",-0.019718664138804964,2,4,0.3640931570871701,1.6527420287908665e-13,0.019718664138804964,True,-1.9356326238284538e-05,,-0.15000000000000002,-0.15000000000000002,-0.05,direct_preferred_endpoint,curvature_lower_supported
0.36088135637103025,40775.88348977872,3547.0352437739293,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 40775.88349977872, 'Tp': 3247.0352437739293, 'residual': 9.999519285975713e-09}",-0.023295318541153964,3,4,0.35411043802699493,4.807140242875609e-13,0.023295318541153964,True,-1.832680589841651e-05,,-0.2,-0.2,-0.10000000000000002,direct_preferred_endpoint,curvature_lower_supported
0.33463861446384047,29827.84621114823,3562.5601510807364,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 29827.84622114823, 'Tp': 3262.5601510807364, 'residual': 9.998808739787236e-09}",-0.02624274190718978,4,4,0.34252339321472425,1.1912602127641188e-12,0.02624274190718978,True,-1.722659448732955e-05,,-0.25,-0.25,-0.15000000000000002,direct_preferred_endpoint,curvature_lower_supported
0.3060453071380498,20918.530978695915,3578.8086128695877,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 20918.530988695915, 'Tp': 3278.8086128695877, 'residual': 9.997330897259198e-09}",-0.028593307325790684,5,4,0.3295746672494417,2.669102740802547e-12,0.028593307325790684,True,-1.6114799864741514e-05,,-0.3,-0.3,-0.2,direct_preferred_endpoint,curvature_lower_supported
0.27560564567883516,14079.283026562374,3595.288921797287,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 14079.283036562374, 'Tp': 3295.288921797287, 'residual': 9.999997798817078e-09}",-0.030439661459214618,6,5,0.31551311921372,2.2011829226467974e-15,0.030439661459214618,True,-1.5056434034432797e-05,,-0.35,-0.35,-0.25,direct_preferred_endpoint,curvature_lower_supported
0.24365254488159915,9059.134134149786,3611.4241570482,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 9059.134144149786, 'Tp': 3311.4241570482, 'residual': 9.999997977138288e-09}",-0.03195310079723601,7,5,0.3005866712259593,2.0228617121296184e-15,0.03195310079723601,True,-1.413695635044121e-05,,-0.39999999999999997,-0.39999999999999997,-0.3,direct_preferred_endpoint,curvature_lower_supported
0.21018820399421645,5486.276442852285,3626.4424908916544,"{'lower': 'curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 5486.276452852285, 'Tp': 3326.4424908916544, 'residual': 9.999998114681106e-09}",-0.033464340887382704,8,5,0.2850402919563353,1.885318894700466e-15,0.033464340887382704,True,-1.352067651283484e-05,,-0.44999999999999996,-0.44999999999999996,-0.35,direct_preferred_endpoint,curvature_lower_supported
0.1742910226444343,2957.001315811227,3638.796062934114,"{'lower': 'sigma_box,curvature', 'upper': 'curvature'}",[],nan,{},nan,"{'G': 2957.001325811227, 'Tp': 3338.796062934114, 'residual': 9.999993633102415e-09}",-0.03589718134978215,9,5,0.2691326288447963,6.3668975847959105e-15,0.03589718134978215,True,-1.3806576485864142e-05,,-0.49999999999999994,-0.49999999999999994,-0.39999999999999997,direct_preferred_endpoint,"sigma_box,curvature_lower_supported"
